number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_fixed_params,state
38,0.5723088119649363,2025-06-24 00:07:42.605151,2025-06-24 02:34:04.991255,0 days 02:26:22.386104,22,log2,0.8872451557491017,0.014249775524466114,4,6,355,,COMPLETE
154,0.5723190626614441,2025-06-25 05:22:46.793377,2025-06-25 05:43:47.300629,0 days 00:21:00.507252,19,log2,0.9501318398144389,0.036031674471616815,3,6,400,,COMPLETE
160,0.5723315435925247,2025-06-25 07:28:27.487352,2025-06-25 07:49:51.118669,0 days 00:21:23.631317,19,log2,0.9896471466534941,0.03655785474490607,3,6,396,,COMPLETE
150,0.5723503430481953,2025-06-25 03:58:58.550607,2025-06-25 04:19:59.125993,0 days 00:21:00.575386,19,log2,0.9467937925818478,0.03558468981971135,3,6,400,,COMPLETE
148,0.572354893099426,2025-06-25 03:16:59.112507,2025-06-25 03:37:54.527321,0 days 00:20:55.414814,19,log2,0.953475641015252,0.03422553264986546,3,6,397,,COMPLETE
159,0.5723638338991544,2025-06-25 07:07:40.581818,2025-06-25 07:28:27.468523,0 days 00:20:46.886705,19,log2,0.9523331010529978,0.03670653691232129,3,6,395,,COMPLETE
157,0.5723821336765159,2025-06-25 06:25:49.896845,2025-06-25 06:46:49.766841,0 days 00:20:59.869996,19,log2,0.9472403770387019,0.03490047613603119,3,6,400,,COMPLETE
158,0.5723873636909544,2025-06-25 06:46:49.784354,2025-06-25 07:07:40.563580,0 days 00:20:50.779226,19,log2,0.9500156100791287,0.034790165644692395,3,6,397,,COMPLETE
168,0.572390231119167,2025-06-25 10:13:59.516728,2025-06-25 10:34:37.831819,0 days 00:20:38.315091,19,log2,0.9365622263449928,0.03639202949390611,3,6,396,,COMPLETE
170,0.5724231365812985,2025-06-25 10:55:53.278336,2025-06-25 11:15:49.371865,0 days 00:19:56.093529,19,log2,0.9568855655211737,0.036214822744752496,3,5,378,,COMPLETE
0,0.5724323886013633,2025-06-23 17:08:24.162536,2025-06-23 17:38:22.346195,0 days 00:29:58.183659,25,sqrt,0.8,0.005,2,5,400,"{'n_estimators': 400, 'max_features': 'sqrt', 'max_samples': 0.8, 'max_depth': 25, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.005}",COMPLETE
152,0.5724406691694508,2025-06-25 04:41:01.381907,2025-06-25 05:01:51.669177,0 days 00:20:50.287270,19,log2,0.950548203355712,0.03471582419218681,3,6,396,,COMPLETE
